gid s t cap ftt
1 1 2 300 3.72
2 1 6 300 3.72
3 2 1 300 3.72
4 2 3 300 5.40
5 2 7 300 4.02
6 3 2 300 5.40
7 3 4 300 3.30
8 3 8 200 1.37
9 4 3 300 3.30
10 4 5 300 4.98
11 4 9 300 3.09
12 5 4 300 4.98
13 5 10 300 4.59
14 6 1 300 3.72
15 6 7 300 4.17
16 6 11 300 4.32
17 7 2 300 4.02
18 7 6 300 4.17
19 7 8 300 4.02
20 7 12 300 4.11
21 8 3 200 1.37
22 8 7 300 4.02
23 8 9 300 5.55
24 8 13 200 1.41
25 9 4 300 3.09
26 9 8 300 5.55
27 9 10 300 4.53
28 9 14 300 4.11
29 10 5 300 4.59
30 10 9 300 4.53
31 10 15 300 3.42
32 11 6 300 4.32
33 11 12 200 1.23
34 11 16 300 4.35
35 12 7 300 4.11
36 12 11 200 1.23
37 12 13 200 1.85
38 12 17 300 5.49
39 13 8 200 1.41
40 13 12 200 1.85
41 13 14 200 1.89
42 13 18 200 2.15
43 14 9 300 4.11
44 14 13 200 1.89
45 14 15 200 1.03
46 14 19 300 5.46
47 15 10 300 3.42
48 15 14 300 1.03
49 15 20 300 6.09
50 16 11 300 4.35
51 16 17 300 3.09
52 16 21 300 5.58
53 17 12 300 5.49
54 17 16 300 3.09
55 17 18 300 4.50
56 17 22 300 4.02
57 18 13 200 2.15
58 18 17 300 4.50
59 18 19 300 5.94
60 18 23 200 1.79
61 19 14 300 5.46
62 19 18 300 5.94
63 19 20 300 2.97
64 19 24 300 5.85
65 20 15 300 6.09
66 20 19 300 2.97
67 20 25 300 4.05
68 21 16 300 5.58
69 21 22 300 5.76
70 22 17 300 4.02
71 22 21 300 5.76
72 22 23 300 4.44
73 23 18 200 1.79
74 23 22 300 4.44
75 23 24 300 5.10
76 24 19 300 5.85
77 24 23 300 5.10
78 24 25 300 3.00
79 25 20 300 4.05
80 25 24 300 3.00
